Wall time,Step,Value
1606978608.390166,30,0.21250000596046448
1606978611.3806133,95,0.21250000596046448
1606978612.7639015,125,0.21250000596046448
1606978616.4636202,205,0.17499999701976776
1606978616.9210324,215,0.15000000596046448
1606978617.609934,230,0.22500000894069672
1606978618.0788715,240,0.20000000298023224
1606978620.045267,270,0.15000000596046448
1606978620.7417421,285,0.21250000596046448
1606978624.2042267,360,0.2874999940395355
1606978624.902554,375,0.21250000596046448
1606978629.5424685,475,0.25
1606978631.9748843,515,0.20000000298023224
1606978632.6634097,530,0.21250000596046448
1606978632.8930078,535,0.25
1606978634.4997368,570,0.125
1606978637.507597,635,0.26250001788139343
1606978640.511632,700,0.16250000894069672
1606978643.6334288,755,0.26250001788139343
1606978644.7889671,780,0.17499999701976776
1606978645.4814956,795,0.32500001788139343
1606978647.5997405,840,0.21250000596046448
1606978647.8357399,845,0.25
1606978650.1528084,895,0.20000000298023224
1606978651.3176374,920,0.26250001788139343
1606978651.7861686,930,0.3375000059604645
1606978652.021495,935,0.22500000894069672
1606978652.9606526,955,0.2874999940395355
1606978654.8113945,995,0.3125
1606978657.229801,1035,0.10000000149011612
1606978657.4599357,1040,0.23749999701976776
1606978658.619971,1065,0.26250001788139343
1606978661.240532,1120,0.17499999701976776
1606978662.6143858,1150,0.30000001192092896
1606978663.784439,1175,0.2874999940395355
1606978664.4806426,1190,0.1875
1606978667.2739692,1250,0.26250001788139343
1606978669.220959,1280,0.22500000894069672
1606978670.3800855,1305,0.2750000059604645
1606978672.0128043,1340,0.20000000298023224
1606978672.9352753,1360,0.3125
1606978673.398249,1370,0.23749999701976776
1606978677.7873662,1465,0.32500001788139343
1606978678.9498563,1490,0.23749999701976776
1606978679.1794965,1495,0.25
1606978680.9133859,1520,0.1875
1606978682.066123,1545,0.16250000894069672
1606978682.5328112,1555,0.2750000059604645
1606978684.3769245,1595,0.23749999701976776
1606978684.6130297,1600,0.23749999701976776
1606978687.1619513,1655,0.25
1606978689.2313962,1700,0.26250001788139343
1606978691.086938,1740,0.30000001192092896
1606978695.3431745,1820,0.25
1606978696.266092,1840,0.23749999701976776
1606978698.5814443,1890,0.125
1606978709.3954725,2110,0.20000000298023224
1606978709.6248775,2115,0.26250001788139343
1606978711.5125046,2155,0.2750000059604645
1606978713.6138427,2200,0.3375000059604645
1606978714.0771544,2210,0.3499999940395355
1606978714.3062465,2215,0.36250001192092896
1606978715.0001438,2230,0.375
1606978716.9509356,2260,0.42500001192092896
1606978719.0327978,2305,0.36250001192092896
1606978719.73855,2320,0.45000001788139343
1606978719.9706066,2325,0.375
1606978722.294264,2375,0.6500000357627869
1606978726.2640364,2460,0.4625000059604645
1606978726.724849,2470,0.36250001192092896
1606978730.559594,2540,0.3499999940395355
1606978731.7118762,2565,0.23749999701976776
1606978732.1714041,2575,0.2750000059604645
1606978732.863806,2590,0.36250001192092896
1606978734.7305646,2630,0.30000001192092896
1606978736.1099198,2660,0.42500001192092896
1606978736.5792422,2670,0.16250000894069672
1606978737.2793188,2685,0.4625000059604645
1606978738.6576104,2715,0.5250000357627869
1606978739.8228076,2740,0.4749999940395355
1606978742.724465,2790,0.45000001788139343
1606978744.111434,2820,0.42500001192092896
1606978745.4967723,2850,0.3125
1606978746.4215395,2870,0.6000000238418579
1606978747.8112464,2900,0.1875
1606978748.2708192,2910,0.2874999940395355
1606978748.9717352,2925,0.1875
1606978749.4322577,2935,0.3375000059604645
1606978749.6648233,2940,0.32500001788139343
1606978750.8329859,2965,0.2874999940395355
1606978751.0608394,2970,0.4124999940395355
1606978754.4869268,3015,0.21250000596046448
1606978756.3349445,3055,0.23749999701976776
1606978757.499053,3080,0.637499988079071
1606978758.6644945,3105,0.625
1606978759.1284928,3115,0.4749999940395355
1606978761.907358,3175,0.42500001192092896
1606978763.5383854,3210,0.3125
1606978763.7700245,3215,0.4000000059604645
1606978764.237513,3225,0.6000000238418579
1606978764.6991754,3235,0.5625
1606978764.9305315,3240,0.45000001788139343
1606978765.3972428,3250,0.612500011920929
1606978768.7506194,3310,0.375
1606978769.4457302,3325,0.5250000357627869
1606978770.382768,3345,0.7250000238418579
1606978771.0810375,3360,0.637499988079071
