Wall time,Step,Value
1606976411.3091333,1425,231.0518798828125
1606976411.9166422,1450,257.3223571777344
1606976412.1723278,1460,292.5710754394531
1606976412.2889352,1465,251.1583251953125
1606976412.8780959,1490,149.2894287109375
1606976412.9978669,1495,139.45526123046875
1606976413.1227424,1500,154.4916534423828
1606976413.7577221,1510,111.32051849365234
1606976413.8779368,1515,86.31556701660156
1606976413.9957643,1520,46.12766647338867
1606976414.4656382,1540,74.74304962158203
1606976414.5821059,1545,32.419769287109375
1606976414.8166394,1555,126.2411880493164
1606976415.17397,1570,116.75602722167969
1606976415.6441557,1590,50.759639739990234
1606976415.7652185,1595,130.25942993164062
1606976415.885572,1600,77.0087890625
1606976416.0051773,1605,560623.125
1606976416.2514327,1615,293649.71875
1606976416.6029932,1630,92001.1796875
1606976416.719565,1635,36612.328125
1606976416.8393228,1640,848.626220703125
1606976417.2068636,1655,31.579792022705078
1606976417.3248394,1660,30.906272888183594
1606976417.561533,1670,23.926374435424805
1606976418.2753756,1700,23.62387466430664
1606976418.5118845,1710,41.873905181884766
1606976418.867641,1725,52.97938537597656
1606976418.987784,1730,24.293596267700195
1606976419.2304406,1740,59.443878173828125
1606976419.3498015,1745,46.29045486450195
1606976420.3760815,1770,42.670570373535156
1606976420.4947968,1775,42.917457580566406
1606976420.729545,1785,43.51328659057617
1606976420.9679258,1795,45.395286560058594
1606976421.0878408,1800,35.51589584350586
1606976421.2047877,1805,42.1784782409668
1606976421.5614078,1820,19.821229934692383
1606976422.0411506,1840,15.186763763427734
1606976422.4067717,1855,5939.52490234375
1606976422.5242176,1860,196.1796112060547
1606976422.7603397,1870,9711.01171875
1606976423.2410967,1890,105.13570404052734
1606976423.3655589,1895,286.3460998535156
1606976423.4987059,1900,123.53961181640625
1606976423.7503533,1910,48.137969970703125
1606976423.8778725,1915,95.88794708251953
1606976424.367268,1935,21.308347702026367
1606976424.485136,1940,31.182514190673828
1606976424.6021383,1945,46.37175750732422
1606976424.841642,1955,32.142059326171875
1606976424.9601264,1960,21.267114639282227
1606976425.0800707,1965,34.20989227294922
1606976425.2075088,1970,29.740928649902344
1606976426.6763875,2015,29.92510986328125
1606976426.7937217,2020,22.170480728149414
1606976427.3921218,2045,19.539220809936523
1606976428.2384894,2080,2.377631425857544
1606976428.3559566,2085,3.757753849029541
1606976428.8322995,2105,3.5453085899353027
1606976428.9540331,2110,3.676255464553833
1606976429.073126,2115,3.950270414352417
1606976429.314443,2125,3.1797614097595215
1606976429.550804,2135,2.497079372406006
1606976430.0274322,2155,2.5985891819000244
1606976431.1237504,2200,2.2609457969665527
1606976431.6576176,2205,2.9887731075286865
1606976431.7758274,2210,2.8495163917541504
1606976431.8955019,2215,2.1461029052734375
1606976432.2602208,2230,2.2526869773864746
1606976432.6159604,2245,23223.8828125
1606976433.401447,2260,20419.91796875
1606976434.2978826,2295,61.940399169921875
1606976434.4164846,2300,81.18031311035156
1606976434.5358562,2305,43.742408752441406
1606976434.6551685,2310,73.09158325195312
1606976434.9030201,2320,74.12313842773438
1606976435.031065,2325,75.61375427246094
1606976435.4128454,2340,41.847843170166016
1606976435.531965,2345,27.023513793945312
1606976435.6493485,2350,40.362579345703125
1606976436.128992,2370,54.516822814941406
1606976436.251969,2375,36.66640853881836
1606976436.7302103,2395,34.39238357543945
1606976437.5726376,2430,23.457626342773438
1606976437.93429,2445,16.51531410217285
1606976438.054107,2450,31.21419906616211
1606976438.2971783,2460,25.724191665649414
1606976438.5367556,2470,11.49675178527832
1606976438.8970253,2485,258.0298767089844
1606976440.8057039,2540,31.115211486816406
1606976441.1774144,2555,42.450374603271484
1606976441.2976348,2560,46.735328674316406
1606976441.4206154,2565,53.151737213134766
1606976441.667888,2575,48.399940490722656
1606976441.906987,2585,30.068401336669922
1606976442.0268955,2590,16.59490394592285
1606976442.2692406,2600,16.18777847290039
1606976442.8767827,2625,10.354107856750488
1606976443.004875,2630,7.3136773109436035
1606976443.7330034,2660,6.42411994934082
1606976443.9704902,2670,3.116793632507324
1606976444.091128,2675,3.465442419052124
1606976444.2113218,2680,4.0831475257873535
1606976444.3367743,2685,7.677257537841797
1606976444.4548492,2690,40.108463287353516
1606976444.5747137,2695,73.3621597290039
1606976444.6949992,2700,28.583629608154297
1606976444.81917,2705,12.997014999389648
1606976444.9382796,2710,6.08840799331665
1606976445.0734618,2715,7.401585102081299
1606976445.3213508,2725,2.884650468826294
1606976445.6859267,2740,3.509998083114624
1606976445.805247,2745,3.135740280151367
1606976445.92666,2750,2.843550682067871
1606976446.573654,2760,2.0104634761810303
1606976447.056996,2780,1.6735061407089233
1606976447.3044956,2790,2.85982084274292
1606976447.5645146,2800,2.1672182083129883
1606976448.06692,2820,2.3403100967407227
1606976448.18911,2825,1.9458568096160889
1606976448.310956,2830,2.413376569747925
1606976448.7944891,2850,189.60623168945312
1606976449.2816916,2870,4.29442024230957
1606976449.4079952,2875,1.7503137588500977
1606976449.7765048,2890,1.4585041999816895
1606976450.0192842,2900,1.3659417629241943
1606976450.1403806,2905,1.638951063156128
1606976450.2604644,2910,1.5545859336853027
1606976450.3859546,2915,2.822986364364624
1606976450.509965,2920,2.740631341934204
1606976450.6301901,2925,1.4508074522018433
1606976450.8731418,2935,1.7396882772445679
1606976450.9932413,2940,1.5295699834823608
1606976451.599857,2965,1.3824886083602905
1606976451.7192614,2970,1.2806611061096191
1606976452.0807776,2985,1.2813351154327393
1606976452.2108505,2990,1.3648937940597534
1606976453.7683377,3005,1.3225717544555664
1606976454.0099173,3015,1.0480021238327026
1606976454.5033069,3035,1.2529704570770264
1606976454.7472968,3045,0.8934940099716187
1606976454.988342,3055,1.5500788688659668
1606976455.1181643,3060,0.9752565026283264
1606976455.245466,3065,0.7816559076309204
1606976455.610801,3080,1.1884764432907104
1606976456.094315,3100,1.9165680408477783
1606976456.2153456,3105,0.8819478750228882
1606976456.4574306,3115,72251.7265625
1606976456.822325,3130,235.06129455566406
1606976457.3112946,3150,11.92331314086914
1606976457.9172075,3175,8.04283332824707
1606976458.771878,3210,4.61776065826416
1606976458.8921528,3215,4.126636505126953
1606976459.1350198,3225,11.81942367553711
1606976459.2591944,3230,6.7488884925842285
1606976459.3803077,3235,6.805270195007324
1606976459.5027905,3240,4.738464832305908
1606976459.6266706,3245,5.037634372711182
1606976459.7652252,3250,6.0471696853637695
1606976460.5981588,3260,4.178778171539307
1606976460.7426486,3265,2.584332227706909
1606976461.2326038,3285,3.5997397899627686
1606976461.3553624,3290,3.458970069885254
1606976462.286794,3310,5.406023979187012
1606976462.6536827,3325,3.7845611572265625
1606976462.8936343,3335,2.1022701263427734
1606976463.018565,3340,4.153568267822266
1606976463.1404445,3345,4.221563339233398
1606976463.5045109,3360,5.383656024932861
1606976463.6275606,3365,8.870502471923828
1606976463.7501724,3370,7.627478122711182
1606976463.8730702,3375,3.2877249717712402
1606976463.9931686,3380,1.502974033355713
1606976464.2337403,3390,1.6764702796936035
1606976464.3555522,3395,1.3316806554794312
1606976464.4770083,3400,1.137735366821289
1606976464.7298887,3410,0.9600276947021484
1606976464.8571963,3415,2.5129079818725586
1606976464.983437,3420,2.209193229675293
1606976465.1061351,3425,0.8380785584449768
1606976465.231515,3430,1.0742180347442627
1606976465.3562546,3435,1.1454637050628662
1606976465.600245,3445,0.9280486106872559
1606976465.723691,3450,0.9085452556610107
1606976466.5761702,3485,1.187533974647522
1606976466.9450452,3500,0.6350160241127014
1606976467.4943087,3505,1.3580890893936157
1606976467.6263363,3510,1.1620844602584839
1606976467.887883,3520,1.0596977472305298
1606976468.2610252,3535,0.9722660183906555
1606976468.5048776,3545,18.981430053710938
1606976468.7577484,3555,8412.7490234375
1606976469.2550156,3575,2399.534912109375
1606976469.8054104,3595,13.521227836608887
1606976469.9650521,3600,10.526644706726074
1606976470.2530763,3610,5.848491191864014
1606976470.3963082,3615,7.495047569274902
1606976470.5304885,3620,5.037693023681641
1606976470.664731,3625,6.625977993011475
1606976470.7943363,3630,6.080212593078613
1606976471.423218,3655,4.061349868774414
1606976472.2054524,3685,2.668192148208618
1606976472.4491305,3695,5.167813777923584
1606976472.5718794,3700,4.471100330352783
1606976472.6944528,3705,4.974386215209961
1606976472.8198924,3710,2.7726964950561523
1606976473.0630305,3720,4.165271282196045
1606976473.4301918,3735,1.8024197816848755
1606976473.5554395,3740,2.8039751052856445
1606976474.342074,3755,31.4282283782959
1606976474.4624684,3760,1351.49560546875
1606976474.5884302,3765,120.3475112915039
1606976474.8387513,3775,25.850357055664062
1606976475.0800912,3785,7.528260707855225
1606976475.4438293,3800,6.5438737869262695
1606976475.810951,3815,6.7936625480651855
1606976476.1913445,3830,3.521406650543213
1606976476.312429,3835,2.8312935829162598
1606976476.433019,3840,3.008544683456421
1606976476.680647,3850,5.308281421661377
1606976476.8014224,3855,2.3037116527557373
1606976476.926925,3860,6.49971866607666
1606976477.169619,3870,3.132878303527832
1606976477.2893672,3875,2.5495243072509766
1606976477.4151068,3880,3.2010912895202637
1606976478.0270371,3905,1.82350754737854
1606976478.5208023,3925,2.896555185317993
1606976478.6422536,3930,4351.70458984375
1606976478.8886535,3940,16.969955444335938
1606976479.1286767,3950,7.75832462310791
1606976479.378016,3960,3.003380060195923
1606976479.499121,3965,1.964674711227417
1606976479.6194952,3970,2.000333786010742
1606976479.7448928,3975,2.1121909618377686
1606976479.8803816,3980,3.0530202388763428
1606976480.0106587,3985,1.4674659967422485
1606976480.2637987,3995,1.176948070526123
1606976480.92113,4005,2.7416820526123047
1606976481.1606703,4015,3.2290966510772705
1606976481.5310292,4030,1.4816938638687134
1606976481.7779694,4040,1.4174745082855225
1606976481.8991253,4045,2.430936813354492
1606976482.019609,4050,3.275216579437256
1606976482.5002382,4070,1.7497118711471558
1606976482.7406735,4080,1.1180102825164795
1606976482.863009,4085,1.8446142673492432
1606976483.1059282,4095,1.3678584098815918
1606976483.4729753,4110,0.4997069537639618
1606976483.9547992,4130,0.6036174893379211
1606976484.3163126,4145,0.9089019894599915
1606976484.6750708,4160,1.0745477676391602
1606976484.7988393,4165,0.7912102341651917
1606976485.0447848,4175,0.7624963521957397
1606976485.2880492,4185,0.6601324677467346
1606976485.5308766,4195,0.5226272344589233
1606976486.1474016,4220,0.5967349410057068
1606976486.3901644,4230,1.3384970426559448
1606976486.515896,4235,1.240310549736023
1606976486.6354191,4240,0.7493616342544556
1606976486.7551687,4245,0.4707542657852173
1606976487.5441396,4260,0.8771424889564514
1606976488.2979796,4290,1.2374516725540161
1606976488.5419295,4300,10.02408504486084
1606976488.662148,4305,5.228891372680664
1606976488.7822287,4310,0.9138041138648987
1606976488.9011886,4315,1.2594910860061646
1606976489.0252256,4320,1.1344548463821411
1606976489.5090964,4340,0.9611271619796753
1606976489.7520614,4350,1.1362074613571167
1606976489.8783188,4355,1.1628570556640625
1606976490.3627207,4375,0.9217817187309265
1606976490.4816308,4380,0.7114679217338562
1606976490.6021128,4385,1.5035847425460815
1606976490.720823,4390,3.5042972564697266
1606976491.5050747,4405,0.7366183996200562
1606976491.6253088,4410,0.631718099117279
1606976491.7457962,4415,0.8335239291191101
1606976491.9870815,4425,0.5861856341362
1606976492.3503187,4440,0.490894615650177
1606976492.5949488,4450,0.7406558990478516
1606976492.7148924,4455,1.6967613697052002
1606976492.9572918,4465,0.3904609680175781
1606976493.079901,4470,0.5488647222518921
1606976493.445412,4485,1.1743582487106323
1606976493.8066182,4500,0.5494624972343445
1606976494.3383334,4505,0.6759907007217407
1606976495.1880822,4540,0.33646634221076965
1606976495.308377,4545,0.35816869139671326
1606976495.430936,4550,0.4376212954521179
1606976495.5513978,4555,0.8040839433670044
1606976495.6708646,4560,0.425598680973053
1606976495.7911434,4565,0.39522674679756165
1606976495.9102807,4570,0.49953892827033997
1606976496.169679,4580,0.4691179394721985
1606976496.288375,4585,0.36203789710998535
1606976496.4081304,4590,0.45281341671943665
1606976496.7721603,4605,1689.449951171875
1606976496.8917327,4610,12.220245361328125
1606976497.0127287,4615,3.9560205936431885
1606976497.136561,4620,0.6691742539405823
1606976497.3792574,4630,0.6913684606552124
1606976498.0996597,4660,1.1765011548995972
1606976498.2225451,4665,0.49824059009552
1606976498.5848591,4680,0.3786054849624634
1606976499.4340582,4715,0.325933575630188
1606976499.8229702,4730,0.48912253975868225
1606976501.209197,4765,0.5991443395614624
1606976501.3290172,4770,0.7689797878265381
1606976501.4496686,4775,0.6999909281730652
1606976501.6929975,4785,0.4390104413032532
1606976501.8172197,4790,0.4655251204967499
1606976501.9374588,4795,1.081376075744629
1606976502.312094,4810,0.5107280015945435
1606976502.432412,4815,0.45101121068000793
1606976502.6734169,4825,0.35484516620635986
1606976502.913906,4835,1.2423878908157349
1606976503.036282,4840,0.4370681345462799
1606976503.5221224,4860,2.53983736038208
1606976503.644023,4865,96.32344055175781
1606976503.8815634,4875,0.4646519422531128
1606976504.1195364,4885,0.36449870467185974
1606976504.2399333,4890,0.6125103235244751
1606976504.3600757,4895,0.4985441565513611
1606976504.478445,4900,1.184063196182251
