Wall time,Step,Value
1606989534.3019488,95,898.4845581054688
1606989535.2565563,125,13498.287109375
1606989538.120433,215,327.54254150390625
1606989538.5974023,230,446.3411865234375
1606989540.6094427,285,660.6136474609375
1606989543.0007265,360,400.8970947265625
1606989543.4793754,375,393.3594665527344
1606989546.667167,475,201.44415283203125
1606989556.9136217,780,69.1517562866211
1606989557.3920298,795,73.3896255493164
1606989558.8266797,840,47.076297760009766
1606989561.3770852,920,29.004560470581055
1606989568.9842007,1150,19.13978385925293
1606989569.7829323,1175,15.46278190612793
1606989573.3987775,1280,11.104211807250977
1606989574.197348,1305,6.8043060302734375
1606989575.3156152,1340,4.811066627502441
1606989576.2741942,1370,3.0577261447906494
1606989582.135553,1545,2.016436815261841
1606989582.4556477,1555,1.5862092971801758
1606989583.7364905,1595,1.5914955139160156
1606989587.0983577,1700,102.2674331665039
1606989588.3788953,1740,43.98748016357422
1606989591.8451653,1840,11.621804237365723
1606989600.7779367,2110,1.3835053443908691
1606989600.9382334,2115,1.2039567232131958
1606989604.1552083,2215,1.4822345972061157
1606989604.6375794,2230,139.01156616210938
1606989607.3149388,2305,16.424957275390625
1606989607.7973437,2320,10.68777084350586
1606989607.9580202,2325,172039.15625
1606989609.5661151,2375,55.5936393737793
1606989612.6225662,2470,11.209112167358398
1606989616.2607224,2575,13.085122108459473
1606989619.7957122,2685,0.8759902119636536
1606989624.4034903,2820,1.5861825942993164
1606989626.975939,2900,0.8947424292564392
1606989628.1030025,2935,2162.047119140625
1606989628.2640908,2940,553.2293090820312
1606989634.165268,3105,0.7945929765701294
1606989636.4196317,3175,2.4499359130859375
1606989637.5466917,3210,0.25406205654144287
1606989637.707714,3215,2.0306522846221924
1606989638.0295575,3225,1.5705355405807495
1606989638.5123365,3240,0.8832225799560547
1606989638.8339756,3250,0.49900463223457336
1606989641.0303893,3310,0.46648460626602173
1606989642.6396217,3360,0.5619924068450928
1606989649.8254988,3575,0.5342873334884644
1606989651.11281,3615,0.3559858202934265
1606989652.4001544,3655,0.37660643458366394
1606989656.2047386,3765,0.33572250604629517
1606989656.8480477,3785,0.27222582697868347
1606989658.2969728,3830,0.3157753348350525
1606989658.9411573,3850,0.37292423844337463
1606989659.262896,3860,12.416284561157227
1606989660.712,3905,0.6078609228134155
1606989661.5167527,3930,1.9762438535690308
1606989661.8383548,3940,0.9640083909034729
1606989662.6428034,3965,0.715685248374939
1606989662.9646323,3975,0.5265071988105774
1606989663.6088572,3995,1.8549678325653076
1606989664.518035,4015,0.7202263474464417
1606989665.4831517,4045,0.8105757832527161
1606989665.644109,4050,0.7097232937812805
1606989669.3423915,4165,0.44822919368743896
1606989669.9857938,4185,0.19511951506137848
1606989675.5591328,4350,1.1100621223449707
1606989677.6494372,4415,0.5004026293754578
1606989681.9351602,4540,0.3359310030937195
1606989682.2568755,4550,0.28114065527915955
1606989683.5437999,4590,0.713937520980835
1606989687.5671594,4715,0.3862711787223816
1606989688.0490263,4730,9.780797958374023
1606989689.7614403,4775,1.6032856702804565
1606989691.0488896,4815,0.1729237586259842
1606989692.4968963,4860,0.31634408235549927
1606989692.65764,4865,0.2895999252796173
1606989693.6224046,4895,0.2063252329826355
1606989693.783201,4900,0.8817660808563232
1606989694.587545,4925,4.138811111450195
1606989697.748454,5015,0.32839342951774597
1606989698.2306502,5030,0.31798115372657776
1606989699.678245,5075,0.20503662526607513
1606989707.8243418,5320,0.2586035430431366
1606989708.3073974,5335,0.2500011622905731
1606989708.6290069,5345,0.4273476302623749
1606989709.2721815,5365,0.40954914689064026
1606989710.2374704,5395,0.3702244162559509
1606989711.0419526,5420,0.15239955484867096
1606989712.650673,5470,0.4500545263290405
1606989713.6163507,5500,0.23576851189136505
1606989715.016151,5525,0.23021383583545685
1606989716.6248813,5575,0.2869107723236084
1606989723.646382,5785,0.3051486909389496
1606989724.2900605,5805,0.31836381554603577
1606989724.45069,5810,0.23803430795669556
1606989724.6116931,5815,0.20967121422290802
1606989727.5058677,5905,0.23752667009830475
1606989729.5973518,5970,0.2958225905895233
1606989732.2735279,6035,0.09553969651460648
1606989738.3881795,6225,0.1736798733472824
1606989740.423402,6280,0.5265875458717346
1606989740.9062088,6295,0.5408138036727905
1606989741.3889136,6310,0.2476464807987213
1606989744.6068268,6410,0.26368236541748047
1606989745.5724232,6440,0.21632371842861176
1606989746.6985848,6475,0.20833194255828857
1606989750.5024438,6585,0.28466489911079407
1606989750.984979,6600,0.269131064414978
1606989752.7556512,6655,2.510215997695923
1606989753.2383301,6670,0.1719287633895874
1606989753.7211244,6685,0.3380255103111267
1606989753.8819518,6690,0.36179786920547485
1606989761.869246,6930,0.19206155836582184
1606989762.833881,6960,0.21778802573680878
1606989762.9947615,6965,0.33080482482910156
1606989766.80651,7075,0.20356221497058868
1606989768.736904,7135,0.1687549650669098
1606989770.346776,7185,0.19060617685317993
1606989770.990265,7205,0.23068805038928986
1606989775.438286,7335,0.12327701598405838
1606989777.2083511,7390,0.2455519288778305
1606989778.4957366,7430,0.28517764806747437
1606989779.4611578,7460,0.1664077788591385
1606989784.8741596,7620,0.3050496578216553
1606989785.5175223,7640,0.08767903596162796
1606989789.8019788,7765,0.11682216823101044
1606989792.3756433,7845,0.3904417157173157
1606989792.5365613,7850,0.19606703519821167
1606989794.9500859,7925,0.3236900269985199
1606989795.5931084,7945,0.21676212549209595
1606989798.4323702,8025,0.0843529924750328
1606989798.593062,8030,0.31002217531204224
1606989802.1302257,8140,0.2883463501930237
1606989803.7378387,8190,0.18525445461273193
1606989804.2199776,8205,0.35138100385665894
1606989805.0239847,8230,1.8491398096084595
1606989805.5065603,8245,0.152919203042984
1606989808.989022,8345,0.13691698014736176
1606989811.240133,8415,0.2796591818332672
1606989812.6877959,8460,0.21764108538627625
1606989813.3311813,8480,0.21164028346538544
1606989813.6530128,8490,0.2686951756477356
1606989813.9747884,8500,0.24946649372577667
1606989814.722009,8515,0.1850290298461914
1606989815.8477955,8550,0.18617144227027893
1606989817.2951384,8595,0.45820894837379456
1606989819.546102,8665,0.2058301419019699
1606989819.8678923,8675,0.27316927909851074
1606989820.3503854,8690,0.29940375685691833
1606989821.1537652,8715,0.32625386118888855
1606989821.6364377,8730,0.26404744386672974
1606989821.797494,8735,0.10930227488279343
1606989825.2782156,8835,0.45029354095458984
1606989826.7251747,8880,0.19198575615882874
1606989827.6905243,8910,0.29578113555908203
1606989828.9773574,8950,0.15465234220027924
1606989830.4246528,8995,0.2229851335287094
1606989832.1330414,9030,0.1361970752477646
1606989835.508365,9135,0.4457229971885681
1606989836.1516206,9155,0.2811826765537262
1606989837.759064,9205,0.23093575239181519
1606989838.401824,9225,0.26164305210113525
1606989840.1144643,9270,0.15807606279850006
1606989842.2048619,9335,0.09413007646799088
1606989842.6873944,9350,0.084255151450634
1606989843.652375,9380,0.6158573627471924
1606989843.974006,9390,0.27435779571533203
1606989850.6716812,9590,0.4837202727794647
1606989853.4044929,9675,29.438312530517578
1606989855.0130348,9725,244.62911987304688
1606989855.4955986,9740,4.790755271911621
1606989855.8176618,9750,5.4343647956848145
